Date,Category,Item,Cost,Description
2025-01-01,food,Burger,12,Lunch at fast food
2025-01-02,cafe,Latte,5,Morning coffee
2025-01-03,shopping,T-Shirt,25,Bought a new T-shirt
2025-01-04,transportation & vehicle,Gas,40,Refueled the car
2025-01-05,housing & utilities,Electricity Bill,60,Monthly electricity payment
2025-01-06,culture & hobby,Movie Ticket,15,Watched a movie
2025-01-07,food,Pizza,18,Dinner with friends
2025-01-08,cafe,Americano,4,Afternoon coffee
2025-01-09,shopping,Sneakers,80,New running shoes
2025-01-10,transportation & vehicle,Bus Ticket,3,Public transportation fare
2025-01-30,food,hamburger,10,yummy
